"Bern"
46.948,-7.44,540,-1,-30,1,1,"SYN"

44,78,127,174,210,239,237,202,148,89,50,35
1.3,2.9,6.4,10.3,15,18.9,19.7,19.3,15.2,11.2,5.7,2.1
1.4,1.5,1.8,1.6,1.5,1.5,1.5,1.2,1.3,1.1,1.2,1.4
0	0	8.0	0.5
0	0	7.8	0.2
0	0	7.6	0.1
0	0	7.5	0.4
0	0	7.5	0.4
0	0	7.4	0.8
0	0	7.3	0.4
0	0	7.3	1.2
6	6	7.5	0.7
88	70	9.1	3.4
147	113	10.4	1.6
184	146	11.3	1.2
181	154	11.9	1.6
185	147	12.4	1.9
149	121	12.5	1.0
81	63	12.1	2.3
3	3	11.2	0.9
0	0	10.7	1.4
0	0	10.1	0.7
0	0	9.5	0.8
0	0	8.9	0.9
0	0	8.3	0.3
0	0	7.7	0.1
0	0	7.1	0.1
0	0	6.2	0.3
0	0	5.6	1.9
0	0	4.8	3.4
0	0	4.3	2.1
0	0	3.9	2.6
0	0	3.4	1.2
0	0	3.1	1.9
0	0	2.8	0.3
2	2	2.7	0.7
42	42	3.0	0.5
99	97	3.4	0.8
146	138	3.8	0.4
162	151	4.1	1.2
101	101	4.0	1.6
96	95	3.9	0.5
48	48	3.6	1.2
8	8	3.3	0.7
0	0	3.0	0.9
0	0	2.7	0.2
0	0	2.4	0.1
0	0	2.1	0.1
0	0	1.8	0.0
0	0	1.6	0.0
0	0	1.3	0.0
0	0	1.4	0.0
0	0	1.5	0.0
0	0	1.6	0.1
0	0	1.7	0.1
0	0	1.8	0.1
0	0	1.9	0.1
0	0	2.0	0.3
0	0	2.1	0.4
2	2	2.2	0.7
40	40	3.1	0.8
73	73	4.0	2.3
105	105	4.8	1.9
116	116	5.4	2.6
103	103	5.7	1.2
94	94	5.9	0.4
56	56	5.7	0.8
5	5	5.2	2.9
0	0	5.0	6.6
0	0	4.8	4.3
0	0	4.6	1.4
0	0	4.4	1.2
0	0	4.2	1.9
0	0	4.0	1.2
0	0	3.5	1.4
0	0	3.4	1.0
0	0	3.0	1.0
0	0	2.5	1.6
0	0	2.2	2.1
0	0	2.1	3.8
0	0	1.9	1.0
0	0	1.7	0.3
0	0	1.6	0.3
2	2	1.6	0.4
30	30	1.9	0.2
59	59	2.1	0.4
72	72	2.3	0.3
73	73	2.4	1.2
70	70	2.5	0.3
59	59	2.5	0.1
29	29	2.3	0.2
3	3	2.1	0.4
0	0	1.8	0.9
0	0	1.5	0.9
0	0	1.3	1.4
0	0	1.0	0.5
0	0	0.5	1.0
0	0	0.4	0.8
0	0	-0.4	0.7
0	0	0.0	2.6
0	0	-0.1	3.4
0	0	-0.2	1.6
0	0	-0.2	0.8
0	0	-0.3	2.6
0	0	-0.3	1.4
0	0	-0.4	2.1
0	0	-0.4	0.8
4	4	-0.2	0.5
67	58	1.0	0.3
125	111	2.2	0.2
174	150	3.2	0.2
